id,sub_total,shipping_cost,shipping_total,grand_total,split_test_variant_id,"created_at","updated_at"
32,5000,1328,1328,6328,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
33,4000,1287,1287,5287,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
34,8500,1585,1585,10085,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
35,8000,1504,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
36,8500,1479,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
37,9900,1636,1636,11536,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
38,8000,1458,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
39,9900,1520,1520,11420,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
40,8000,1475,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
41,4000,1364,1364,5364,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
42,9500,1523,1523,11023,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
43,9900,1536,1536,11436,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
44,8000,1466,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
45,8000,1476,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
46,8000,1510,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
47,8000,1556,1556,9556,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
48,8500,1505,1505,10005,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
49,6000,1470,1470,7470,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
50,9900,1554,1554,11454,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
51,7000,1542,1542,8542,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
52,8900,1530,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
53,8000,1577,1577,9577,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
54,9000,1634,1634,10634,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
55,8500,1624,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
56,9900,1509,1509,11409,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
57,8500,1500,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
58,9900,1590,1590,11490,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
59,8000,1547,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
60,8500,1455,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
61,8000,1568,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
62,8000,1471,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
63,9900,1532,1532,11432,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
64,8900,1608,1608,10508,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
65,8900,1643,1643,10543,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
66,5000,1381,1381,6381,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
67,8900,1541,1541,10441,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
68,9900,1619,1619,11519,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
69,8000,1523,1523,9523,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
70,9000,1545,1545,10545,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
71,8000,1476,1476,9476,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
72,8900,1544,1544,10444,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
73,8900,1486,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
74,8000,1509,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
75,8900,1579,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
76,8500,1601,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
77,8000,1523,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
78,9900,1641,1641,11541,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
79,8000,1491,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
80,8000,1452,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
81,8000,1588,1588,9588,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
82,8000,1543,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
83,8000,1521,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
84,8000,1556,1556,9556,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
85,8500,1503,1503,10003,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
86,9000,1634,0,9000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
87,7000,1367,1367,8367,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
88,8500,1477,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
89,8500,1604,1604,10104,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
90,5000,1355,1355,6355,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
91,8000,1410,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
92,8000,1587,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
93,8000,1533,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
94,6000,1421,1421,7421,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
95,8000,1564,1564,9564,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
96,4000,1287,1287,5287,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
97,8000,1511,1511,9511,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
98,9000,1570,1570,10570,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
99,8900,1599,1599,10499,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
100,9500,1527,1527,11027,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
101,8500,1490,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
102,8900,1564,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
103,8500,1612,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
104,4000,1290,1290,5290,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
105,8500,1495,1495,9995,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
106,9000,1599,1599,10599,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
107,8900,1467,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
108,8000,1594,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
109,4000,1218,1218,5218,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
110,8000,1500,1500,9500,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
111,6000,1305,1305,7305,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
112,5000,1396,1396,6396,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
113,4000,1349,1349,5349,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
114,8000,1577,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
115,5000,1395,1395,6395,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
116,8500,1603,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
117,9500,1521,1521,11021,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
118,5000,1354,1354,6354,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
119,8500,1534,1534,10034,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
120,9900,1683,0,9900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
121,8000,1467,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
122,4000,1342,1342,5342,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
123,5000,1426,1426,6426,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
124,9900,1668,1668,11568,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
125,8500,1555,1555,10055,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
126,8900,1446,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
127,6000,1429,1429,7429,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
128,8900,1639,1639,10539,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
129,9900,1562,0,9900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
130,8000,1494,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
131,9900,1624,1624,11524,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
132,8000,1558,1558,9558,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
133,8000,1540,1540,9540,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
134,4000,1356,1356,5356,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
135,8900,1562,1562,10462,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
136,9900,1499,0,9900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
137,5000,1374,1374,6374,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
138,4000,1302,1302,5302,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
139,8000,1411,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
140,5000,1419,1419,6419,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
141,9000,1502,1502,10502,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
142,8000,1516,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
143,8000,1553,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
144,8000,1536,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
145,7000,1486,1486,8486,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
146,9500,1639,1639,11139,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
147,8900,1503,1503,10403,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
148,4000,1375,1375,5375,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
149,8000,1479,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
150,8500,1624,1624,10124,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
151,8000,1410,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
152,6000,1313,1313,7313,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
153,8500,1598,1598,10098,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
154,8500,1616,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
155,8900,1467,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
156,6000,1367,1367,7367,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
157,8000,1456,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
158,8500,1441,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
159,5000,1273,1273,6273,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
160,9900,1664,1664,11564,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
161,5000,1352,1352,6352,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
162,8500,1440,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
163,8000,1456,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
164,8000,1442,1442,9442,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
165,8000,1506,1506,9506,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
166,4000,1362,1362,5362,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
167,9000,1461,1461,10461,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
168,8000,1418,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
169,8000,1498,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
170,9500,1554,1554,11054,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
171,8000,1421,1421,9421,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
172,6000,1378,1378,7378,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
173,4000,1350,1350,5350,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
174,4000,1222,1222,5222,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
175,8000,1471,0,8000,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
176,8900,1540,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
177,8500,1617,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
178,8000,1494,1494,9494,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
179,4000,1340,1340,5340,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
180,9900,1528,1528,11428,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
181,4000,1319,1319,5319,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
182,5000,1442,1442,6442,1,"2016-08-30 21:25:48","2016-08-30 21:25:48"
183,8900,1600,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
184,8500,1466,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
185,8900,1518,0,8900,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
186,8500,1437,0,8500,2,"2016-08-30 21:25:48","2016-08-30 21:25:48"
187,4000,1363,1363,5363,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
188,8500,1504,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
189,9500,1502,0,9500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
190,8000,1473,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
191,9900,1579,1579,11479,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
192,9900,1546,0,9900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
193,5000,1305,1305,6305,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
194,8000,1466,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
195,8000,1528,1528,9528,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
196,8500,1535,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
197,5000,1403,1403,6403,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
198,8000,1503,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
199,9900,1561,0,9900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
200,8000,1436,1436,9436,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
201,9000,1593,1593,10593,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
202,8000,1451,1451,9451,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
203,4000,1319,1319,5319,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
204,7000,1489,1489,8489,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
205,8900,1578,1578,10478,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
206,5000,1311,1311,6311,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
207,5000,1263,1263,6263,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
208,9500,1575,1575,11075,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
209,8500,1460,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
210,8000,1567,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
211,4000,1342,1342,5342,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
212,8000,1596,1596,9596,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
213,8500,1585,1585,10085,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
214,8000,1404,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
215,5000,1394,1394,6394,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
216,9900,1648,0,9900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
217,9000,1640,1640,10640,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
218,9900,1687,0,9900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
219,5000,1270,1270,6270,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
220,4000,1208,1208,5208,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
221,8000,1461,1461,9461,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
222,8000,1544,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
223,7000,1458,1458,8458,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
224,8000,1522,1522,9522,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
225,8000,1464,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
226,9500,1506,0,9500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
227,8900,1492,0,8900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
228,9000,1622,1622,10622,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
229,8900,1492,1492,10392,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
230,8000,1498,1498,9498,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
231,9900,1642,1642,11542,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
232,8500,1575,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
233,4000,1379,1379,5379,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
234,9900,1537,1537,11437,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
235,8000,1558,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
236,9900,1602,1602,11502,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
237,8900,1621,0,8900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
238,5000,1365,1365,6365,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
239,8500,1546,1546,10046,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
240,8900,1493,1493,10393,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
241,8900,1481,1481,10381,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
242,9900,1552,1552,11452,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
243,5000,1277,1277,6277,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
244,7000,1495,1495,8495,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
245,8900,1473,0,8900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
246,4000,1210,1210,5210,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
247,4000,1365,1365,5365,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
248,4000,1394,1394,5394,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
249,8500,1442,1442,9942,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
250,4000,1216,1216,5216,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
251,4000,1323,1323,5323,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
252,7000,1466,1466,8466,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
253,4000,1243,1243,5243,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
254,8000,1562,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
255,4000,1379,1379,5379,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
256,8900,1526,1526,10426,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
257,9900,1604,1604,11504,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
258,4000,1241,1241,5241,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
259,5000,1262,1262,6262,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
260,8000,1475,1475,9475,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
261,7000,1413,1413,8413,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
262,7000,1488,1488,8488,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
263,4000,1250,1250,5250,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
264,7000,1465,1465,8465,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
265,8000,1543,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
266,8000,1493,1493,9493,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
267,8500,1521,1521,10021,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
268,8500,1583,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
269,9900,1554,0,9900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
270,9900,1566,1566,11466,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
271,8000,1465,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
272,8000,1413,1413,9413,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
273,7000,1415,1415,8415,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
274,8500,1445,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
275,9900,1534,1534,11434,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
276,8000,1495,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
277,8000,1467,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
278,8000,1401,1401,9401,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
279,9000,1472,1472,10472,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
280,6000,1487,1487,7487,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
281,8500,1472,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
282,8500,1494,1494,9994,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
283,5000,1358,1358,6358,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
284,8900,1621,0,8900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
285,8900,1562,1562,10462,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
286,8500,1470,1470,9970,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
287,8900,1565,1565,10465,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
288,8000,1482,1482,9482,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
289,7000,1495,1495,8495,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
290,5000,1408,1408,6408,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
291,6000,1395,1395,7395,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
292,8000,1507,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
293,8000,1522,1522,9522,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
294,9500,1617,1617,11117,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
295,9500,1590,1590,11090,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
296,9900,1529,1529,11429,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
297,9900,1658,1658,11558,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
298,8000,1401,1401,9401,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
299,8000,1486,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
300,8900,1632,1632,10532,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
301,8000,1581,1581,9581,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
302,7000,1380,1380,8380,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
303,7000,1459,1459,8459,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
304,8000,1591,1591,9591,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
305,5000,1310,1310,6310,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
306,8900,1448,0,8900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
307,8500,1565,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
308,9900,1524,1524,11424,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
309,8900,1602,0,8900,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
310,8000,1520,0,8000,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
311,7000,1463,1463,8463,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
312,5000,1436,1436,6436,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
313,9500,1484,1484,10984,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
314,4000,1221,1221,5221,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
315,8900,1447,1447,10347,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
316,8500,1578,0,8500,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
317,9900,1500,1500,11400,1,"2016-08-30 21:25:49","2016-08-30 21:25:49"
318,7000,1353,1353,8353,2,"2016-08-30 21:25:49","2016-08-30 21:25:49"
